snapped_at,price,market_cap,total_volume
2017-06-14 00:00:00 UTC,8.987178208959602,13284846.828484084,314439.43047028076
2017-06-15 00:00:00 UTC,8.60278449704183,12779118.067329247,265544.31302320526
2017-06-16 00:00:00 UTC,8.437730122392457,12593632.841415392,241863.9905818786
2017-06-17 00:00:00 UTC,8.740311360390793,13107407.931610053,201125.63943982022
2017-06-18 00:00:00 UTC,7.010010890107896,10561899.287994886,305525.615280225
2017-06-19 00:00:00 UTC,7.001528625430893,10592178.562639622,478923.79981583287
2017-06-20 00:00:00 UTC,7.161149466343014,10833659.036363432,248138.51404588213
2017-06-21 00:00:00 UTC,7.091296601494391,10727982.968011571,292539.5511285145
2017-06-22 00:00:00 UTC,7.384512098089259,11171570.51344916,216742.71596140662
2017-06-23 00:00:00 UTC,9.33598842266828,14123838.053372633,649276.978619227
2017-06-24 00:00:00 UTC,8.27419688484006,12517519.466867669,201100.57097014252
2017-06-25 00:00:00 UTC,7.300259803928291,11044110.441255268,182949.17097972095
2017-06-26 00:00:00 UTC,6.81762712571236,10313965.385608435,265546.15259003564
2017-06-27 00:00:00 UTC,6.328473750922051,9573955.572397415,167218.85222872897
2017-06-28 00:00:00 UTC,6.264263042968769,9476815.173398787,263415.4444431625
2017-06-29 00:00:00 UTC,5.892123467590008,8913828.282461932,145553.48068964892
2017-06-30 00:00:00 UTC,5.255489859638665,8365888.467187493,153351.40792049674
2017-07-01 00:00:00 UTC,4.7972971755767615,7669558.9270239575,144127.2332909794
2017-07-02 00:00:00 UTC,4.883460101272189,7826662.902787723,117981.23776492443
2017-07-03 00:00:00 UTC,4.898695302960691,7851080.177711464,151321.33673746383
2017-07-04 00:00:00 UTC,5.619153990577554,9005750.670850758,179803.36285373283
2017-07-05 00:00:00 UTC,5.520082922921433,8846970.659571106,107092.94799907482
2017-07-06 00:00:00 UTC,5.146986870465074,8249014.093451928,102297.51082516037
2017-07-07 00:00:00 UTC,5.1070620068045125,8185026.993561511,102059.89400263075
2017-07-08 00:00:00 UTC,4.623158852009267,7409481.214209028,73203.04455870381
2017-07-09 00:00:00 UTC,4.54522240278403,7284573.402273132,73364.66260070252
2017-07-10 00:00:00 UTC,4.331875176310581,6942644.362570853,111915.69015393691
2017-07-11 00:00:00 UTC,4.054846505072816,6498653.835522141,94573.59760214592
2017-07-12 00:00:00 UTC,4.174722067919063,6690776.961589067,77426.9592285231
2017-07-13 00:00:00 UTC,4.057222578477489,6502461.93985493,100789.31458719456
2017-07-14 00:00:00 UTC,4.132709509845051,6623443.938914545,63096.29830996332
2017-07-15 00:00:00 UTC,3.665088517822391,5873993.386451732,52900.52189175662
2017-07-16 00:00:00 UTC,3.4206201124683218,5482186.80681163,45896.11302496961
2017-07-17 00:00:00 UTC,3.7303263909079423,5978549.342791468,99330.3258443073
2017-07-18 00:00:00 UTC,4.13817694359023,6632206.529368738,80590.93411477121
2017-07-19 00:00:00 UTC,4.071594990110122,6525496.431509611,103007.2091887112
2017-07-20 00:00:00 UTC,4.70365803894253,7538496.295116725,104568.7978049414
2017-07-21 00:00:00 UTC,4.066748292938739,6517728.688113402,102603.32610808207
2017-07-22 00:00:00 UTC,4.204782886565135,6738955.074903303,54976.672092562425
2017-07-23 00:00:00 UTC,3.9346297283164056,6305983.850015963,56058.57231882676
2017-07-24 00:00:00 UTC,3.937232684435097,6310155.576551916,55793.14419598512
2017-07-25 00:00:00 UTC,3.6405220112317687,5834620.941137021,77696.82143205113
2017-07-26 00:00:00 UTC,3.68917259075681,5912592.64113485,56075.643096662214
2017-07-27 00:00:00 UTC,3.682749763993929,5902298.853755902,73712.60183789053
2017-07-28 00:00:00 UTC,4.240954105276019,6796926.253076612,138229.96742716435
