date,top10_Liquid,top10_Market
2017-01-25,"['BTC', 'LTC', 'ETH', 'XMR', 'DASH', 'ETC', 'ZEC', 'ARDR', 'XRP', 'MAID']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'ETC', 'DASH', 'MAID', 'REP', 'XEM']"
2017-01-26,"['BTC', 'ETH', 'LTC', 'XMR', 'XRP', 'DASH', 'ZEC', 'MAID', 'ETC', 'DCR']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'ETC', 'DASH', 'MAID', 'XEM', 'REP']"
2017-01-27,"['BTC', 'ETH', 'LTC', 'XMR', 'ETC', 'DASH', 'ZEC', 'XRP', 'XEM', 'LSK']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'ETC', 'DASH', 'MAID', 'REP', 'XEM']"
2017-01-28,"['BTC', 'XMR', 'ETH', 'LTC', 'DASH', 'ZEC', 'ETC', 'REP', 'XRP', 'XEM']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'ETC', 'DASH', 'MAID', 'REP', 'XEM']"
2017-01-29,"['BTC', 'ETH', 'XMR', 'LTC', 'DASH', 'MAID', 'ZEC', 'XRP', 'DCR', 'ETC']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'ETC', 'DASH', 'MAID', 'REP', 'XEM']"
2017-01-30,"['BTC', 'LTC', 'ETH', 'XMR', 'DASH', 'MAID', 'ZEC', 'ETC', 'XRP', 'LSK']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'ETC', 'DASH', 'MAID', 'XEM', 'REP']"
2017-01-31,"['BTC', 'LTC', 'ETH', 'XMR', 'DASH', 'ETC', 'ZEC', 'MAID', 'XRP', 'DCR']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'ETC', 'DASH', 'MAID', 'REP', 'XEM']"
2017-02-01,"['BTC', 'ETH', 'LTC', 'XMR', 'DASH', 'XRP', 'MAID', 'ETC', 'ZEC', 'DCR']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'ETC', 'DASH', 'MAID', 'XEM', 'REP']"
2017-02-02,"['BTC', 'ETH', 'LTC', 'XMR', 'DASH', 'MAID', 'ZEC', 'XRP', 'ETC', 'XEM']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'ETC', 'DASH', 'MAID', 'XEM', 'REP']"
2017-02-03,"['BTC', 'ETH', 'LTC', 'XMR', 'DASH', 'ETC', 'ZEC', 'MAID', 'XEM', 'XRP']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'DASH', 'ETC', 'MAID', 'XEM', 'REP']"
2017-02-04,"['BTC', 'ETH', 'LTC', 'XMR', 'DASH', 'ETC', 'DCR', 'ZEC', 'XEM', 'MAID']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'DASH', 'ETC', 'MAID', 'XEM', 'REP']"
2017-02-05,"['BTC', 'ETH', 'LTC', 'XMR', 'DASH', 'ETC', 'ZEC', 'DCR', 'SYS', 'XEM']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'ETC', 'DASH', 'MAID', 'XEM', 'REP']"
2017-02-06,"['BTC', 'ETH', 'LTC', 'ETC', 'XMR', 'DASH', 'ZEC', 'SYS', 'XRP', 'XEM']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'ETC', 'DASH', 'MAID', 'XEM', 'REP']"
