Date,BITW100
Tue Apr 18 2017 00:00:00 GMT+0000,1560.7
Wed Apr 19 2017 00:00:00 GMT+0000,1591.14
Thu Apr 20 2017 00:00:00 GMT+0000,1569.99
Fri Apr 21 2017 00:00:00 GMT+0000,1589.17
Sat Apr 22 2017 00:00:00 GMT+0000,1590.95
Sun Apr 23 2017 00:00:00 GMT+0000,1605.11
Mon Apr 24 2017 00:00:00 GMT+0000,1588.51
Tue Apr 25 2017 00:00:00 GMT+0000,1644.4
Wed Apr 26 2017 00:00:00 GMT+0000,1661.17
Thu Apr 27 2017 00:00:00 GMT+0000,1700.01
Fri Apr 28 2017 00:00:00 GMT+0000,1790.37
Sat Apr 29 2017 00:00:00 GMT+0000,1866.43
Sun Apr 30 2017 00:00:00 GMT+0000,1903.85
Mon May 01 2017 00:00:00 GMT+0000,1987.39
Tue May 02 2017 00:00:00 GMT+0000,2042.39
Wed May 03 2017 00:00:00 GMT+0000,2067.78
Thu May 04 2017 00:00:00 GMT+0000,2161.19
Fri May 05 2017 00:00:00 GMT+0000,2369.68
Sat May 06 2017 00:00:00 GMT+0000,2436.9
Sun May 07 2017 00:00:00 GMT+0000,2516.92
Mon May 08 2017 00:00:00 GMT+0000,2662.89
Tue May 09 2017 00:00:00 GMT+0000,2922.16
Wed May 10 2017 00:00:00 GMT+0000,2821.8
Thu May 11 2017 00:00:00 GMT+0000,2910.09
Fri May 12 2017 00:00:00 GMT+0000,2950.7
Sat May 13 2017 00:00:00 GMT+0000,2895.93
Sun May 14 2017 00:00:00 GMT+0000,3004.59
Mon May 15 2017 00:00:00 GMT+0000,3035.21
Tue May 16 2017 00:00:00 GMT+0000,3095.12
Wed May 17 2017 00:00:00 GMT+0000,3278.3
Thu May 18 2017 00:00:00 GMT+0000,3497.42
Fri May 19 2017 00:00:00 GMT+0000,3600.01
Sat May 20 2017 00:00:00 GMT+0000,3760.76
Sun May 21 2017 00:00:00 GMT+0000,3927.76
Mon May 22 2017 00:00:00 GMT+0000,4067.07
Tue May 23 2017 00:00:00 GMT+0000,4200.16
Wed May 24 2017 00:00:00 GMT+0000,4517.09
Thu May 25 2017 00:00:00 GMT+0000,4609.93
Fri May 26 2017 00:00:00 GMT+0000,4185.2
Sat May 27 2017 00:00:00 GMT+0000,3996.67
Sun May 28 2017 00:00:00 GMT+0000,3712.57
Mon May 29 2017 00:00:00 GMT+0000,3922.16
Tue May 30 2017 00:00:00 GMT+0000,4176.86
